name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Dunganville,7748,Valid,"Iron, IIIAB",54000,Found,1/01/1976 0:00,-42.55,171.35,"(-42.550000, 171.350000)"
Uwet,24138,Valid,"Iron, IIAB",54000,Found,1/01/1903 0:00,5.28333,8.25,"(5.283330, 8.250000)"
Northwest Africa 2740,31146,Valid,L5,53822,Found,,,,
Kumerina,12375,Valid,"Iron, IIC",53500,Found,1/01/1937 0:00,-24.91667,119.41667,"(-24.916670, 119.416670)"
Ruff's Mountain,22779,Valid,"Iron, IIIAB",53070,Found,01/01/1844 12:00:00 AM,34.3,-81.4,"(34.300000, -81.400000)"
Dalton,5509,Valid,"Iron, IIIAB",53000,Found,01/01/1879 12:00:00 AM,34.8,-84.98333,"(34.800000, -84.983330)"
Nan Yang Pao,16903,Valid,L6,52900,Fell,1/01/1917 0:00,35.66667,103.5,"(35.666670, 103.500000)"
Northwest Africa 4526,44959,Valid,H4,52850,Found,1/01/2006 0:00,,,
Ahumada,419,Valid,"Pallasite, PMG",52600,Found,1/01/1909 0:00,30.7,-105.5,"(30.700000, -105.500000)"
Tobychan,24015,Valid,"Iron, IIE",52100,Found,1/01/1971 0:00,,,
Stannern,23713,Valid,Eucrite-mmict,52000,Fell,01/01/1808 12:00:00 AM,49.28333,15.56667,"(49.283330, 15.566670)"
Benjamin,5020,Valid,H4/5,51800,Found,1/01/1969 0:00,33.58333,-99.8,"(33.583330, -99.800000)"
Lancé,12455,Valid,CO3.5,51700,Fell,01/01/1872 12:00:00 AM,47.7,1.06667,"(47.700000, 1.066670)"
Grand Rapids,10955,Valid,"Iron, ungrouped",51700,Found,01/01/1883 12:00:00 AM,42.96667,-85.76667,"(42.966670, -85.766670)"
Ilimaes (iron),12022,Valid,"Iron, IIIAB",51700,Found,01/01/1870 12:00:00 AM,-26,-70,"(-26.000000, -70.000000)"
Leedey,12755,Valid,L6,51500,Fell,1/01/1943 0:00,35.88333,-99.33333,"(35.883330, -99.333330)"
Mungindi,16872,Valid,"Iron, IAB-sLM",51300,Found,01/01/1897 12:00:00 AM,-28.93333,148.95,"(-28.933330, 148.950000)"
Willow Creek,24276,Valid,"Iron, IIIE",51000,Found,1/01/1914 0:00,43.46667,-106.76667,"(43.466670, -106.766670)"
La Grange,12399,Valid,"Iron, IVA",50800,Found,01/01/1860 12:00:00 AM,38.4,-85.36667,"(38.400000, -85.366670)"
Davy (a),6616,Valid,L4,50600,Found,1/01/1940 0:00,29.1,-97.6,"(29.100000, -97.600000)"
Richland,22601,Valid,"Iron, IIAB",50600,Found,1/01/1951 0:00,31.9,-96.4,"(31.900000, -96.400000)"
Santa Vitoria do Palmar,35478,Valid,L3,50400,Found,1/01/2003 0:00,-33.50944,-53.41083,"(-33.509440, -53.410830)"
Northwest Africa 1581,17340,Valid,L6,50200,Found,1/01/2001 0:00,31.38333,-4.25,"(31.383330, -4.250000)"
Akyumak,433,Valid,"Iron, IVA",50000,Fell,1/01/1981 0:00,39.91667,42.81667,"(39.916670, 42.816670)"
Aumale,4899,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,36.16667,3.66667,"(36.166670, 3.666670)"
Ausson,4903,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,43.08333,0.58333,"(43.083330, 0.583330)"
Krymka,12364,Valid,LL3.2,50000,Fell,1/01/1946 0:00,47.83333,30.76667,"(47.833330, 30.766670)"
Limerick,14652,Valid,H5,50000,Fell,01/01/1813 12:00:00 AM,52.56667,-8.78333,"(52.566670, -8.783330)"
Nuevo Mercurio,17938,Valid,H5,50000,Fell,1/01/1978 0:00,24.3,-102.13333,"(24.300000, -102.133330)"
Valera,24149,Valid,L5,50000,Fell,1/01/1972 0:00,9.31667,-70.62833,"(9.316670, -70.628330)"
Wuan,24340,Valid,H6,50000,Fell,1/01/1986 0:00,36.75,114.25,"(36.750000, 114.250000)"
Dhofar 1654,55572,Valid,L5,50000,Found,1/01/2011 0:00,18.67877,54.2876,"(18.678770, 54.287600)"
Hammadah al Hamra 153,11636,Valid,H3.8-4,50000,Found,1/01/1995 0:00,28.60033,13.5775,"(28.600330, 13.577500)"
Hinojal,11887,Valid,L6,50000,Found,1/01/1927 0:00,-32.36667,-60.15,"(-32.366670, -60.150000)"
Ingella Station,12034,Valid,H5,50000,Found,1/01/1987 0:00,-25.55,142.78333,"(-25.550000, 142.783330)"
Northwest Africa 5775,49455,Valid,LL5,50000,Found,1/01/2006 0:00,0,0,"(0.000000, 0.000000)"
Northwest Africa 6903,53891,Valid,"Iron, IIIAB",50000,Found,1/01/2008 0:00,32.37167,-6.36,"(32.371670, -6.360000)"
Waconda,24195,Valid,L6,50000,Found,01/01/1873 12:00:00 AM,39.33333,-98.16667,"(39.333330, -98.166670)"
Winburg,24283,Valid,"Iron, IC-an",50000,Found,01/01/1881 12:00:00 AM,-28.5,27,"(-28.500000, 27.000000)"
Zagora,30387,Valid,"Iron, IAB-ung",50000,Found,1/01/1987 0:00,30.36667,-5.85,"(30.366670, -5.850000)"
Jiddat al Harasis 342,45866,Valid,L5,49750,Found,1/01/2006 0:00,19.71458,56.54755,"(19.714580, 56.547550)"
Hraschina,11916,Valid,"Iron, IID",49000,Fell,01/01/1751 12:00:00 AM,46.1,16.33333,"(46.100000, 16.333330)"
Agua Blanca,397,Valid,"Iron, IIIAB",49000,Found,1/01/1938 0:00,-28.91667,-66.95,"(-28.916670, -66.950000)"
Mapleton,15410,Valid,"Iron, IIIAB",49000,Found,1/01/1939 0:00,42.18333,-95.71667,"(42.183330, -95.716670)"
Thule,23977,Valid,"Iron, IIIAB",48600,Found,1/01/1955 0:00,76.53333,-67.55,"(76.533330, -67.550000)"
Cabin Creek,5186,Valid,"Iron, IIIAB",48500,Fell,01/01/1886 12:00:00 AM,35.5,-93.5,"(35.500000, -93.500000)"
Bear Lodge,4983,Valid,"Iron, IIIAB",48500,Found,1/01/1931 0:00,44.5,-104.2,"(44.500000, -104.200000)"
Crab Orchard,5461,Valid,Mesosiderite-A1,48500,Found,01/01/1887 12:00:00 AM,35.83333,-84.91667,"(35.833330, -84.916670)"
Bischtübe,5057,Valid,"Iron, IAB-sLL",48250,Found,01/01/1888 12:00:00 AM,51.95,62.2,"(51.950000, 62.200000)"
Woodbine,24330,Valid,"Iron, IAB-ung",48200,Found,1/01/1953 0:00,42.34667,-90.1675,"(42.346670, -90.167500)"
Jackalsfontein,12065,Valid,L6,48000,Fell,1/01/1903 0:00,-32.5,21.9,"(-32.500000, 21.900000)"
Bagnone,4921,Valid,"Iron, IIIAB",48000,Found,1/01/1904 0:00,44.31667,9.98333,"(44.316670, 9.983330)"
Sukhoj Liman,23739,Valid,H4/5,48000,Found,1/01/1987 0:00,46.4,30.8,"(46.400000, 30.800000)"
Dresden (Ontario),7731,Valid,H6,47700,Fell,1/01/1939 0:00,42.52,-82.26,"(42.520000, -82.260000)"
Red Rock,22549,Valid,"Iron, IIIAB",47600,Found,1/01/1976 0:00,35.41667,-117.91667,"(35.416670, -117.916670)"
Roy (1933),22774,Valid,L5,47200,Found,1/01/1933 0:00,35.95,-104.2,"(35.950000, -104.200000)"
Gomez,10944,Valid,L6,47000,Found,1/01/1974 0:00,33.18139,-102.40139,"(33.181390, -102.401390)"
South African Railways,23674,Valid,"Iron, IVA",47000,Found,1/01/1938 0:00,,,
Cuero,5493,Valid,H5,46500,Found,1/01/1936 0:00,29.01667,-97.28333,"(29.016670, -97.283330)"
Harrisonville,11844,Valid,L6,46500,Found,1/01/1933 0:00,38.65,-94.33333,"(38.650000, -94.333330)"
Lakewood,12450,Valid,L6,46500,Found,1/01/1955 0:00,32.62972,-104.35,"(32.629720, -104.350000)"
Rancho de la Pila (1882),22389,Valid,"Iron, IIIAB",46500,Found,01/01/1882 12:00:00 AM,24.11667,-104.3,"(24.116670, -104.300000)"
Osseo,18037,Valid,"Iron, IAB complex",46300,Found,1/01/1931 0:00,47.63333,-80.08333,"(47.633330, -80.083330)"
